Major Heading,Major_Heading_MS,Major_Heading_CN,Major_Heading_VN,Activity Code,MET Value,Activity Description,Activity_Description_MS,Activity_Description_CN,Activity_Description_VN
Bicycling,Berbasikal,骑自行车,Đạp xe,1003,14,"Bicycling, mountain, uphill, vigorous","Berbasikal, gunung, mendaki, tenaga tinggi  ",骑自行车，山地，上坡，剧烈,"Đạp xe đạp leo núi, lên dốc, cường độ mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1004,16,"Bicycling, mountain, competitive racing","Berbasikal, gunung, perlumbaan kompetitif  ",骑自行车，山地，竞技比赛,"Đạp xe đạp leo núi, đua tranh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1008,8.5,"Bicycling, BMX","Berbasikal, BMX  ",骑自行车，BMX,Đạp xe BMX
Bicycling,Berbasikal,骑自行车,Đạp xe,1009,8.5,"Bicycling, mountain, general","Berbasikal, gunung, umum  ",骑自行车，山地，一般,"Đạp xe đạp leo núi, chung"
Bicycling,Berbasikal,骑自行车,Đạp xe,1010,4,"Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)","Berbasikal, <10 mph, santai, untuk kerja atau untuk keseronokan (Kod Taylor 115)  ",骑自行车，<10英里/小时，休闲，用于上班或娱乐（Taylor代码115）,"Đạp xe đạp, <10 mph, thư giãn, đi làm hoặc giải trí (Mã Taylor 115)"
Bicycling,Berbasikal,骑自行车,Đạp xe,1011,6.8,"Bicycling, to/from work, self selected pace","Berbasikal, pergi/ balik ke kerja, kadar sendiri  ",骑自行车，往返上班，自选速度,"Đạp xe đạp đi/đến nơi làm việc, tốc độ tự chọn"
Bicycling,Berbasikal,骑自行车,Đạp xe,1013,5.8,"Bicycling, on dirt or farm road, moderate pace","Berbasikal, di jalan tanah atau ladang, kadar sederhana  ",骑自行车，在土路或农场道路，中等速度,"Đạp xe đạp trên đường đất hoặc đường nông trại, tốc độ vừa"
Bicycling,Berbasikal,骑自行车,Đạp xe,1014,7,"Bicycling, general","Berbasikal, umum  ",骑自行车，一般,"Đạp xe đạp, chung"
Bicycling,Berbasikal,骑自行车,Đạp xe,1015,4.3,"Bicycling, self-selected easy pace","Berbasikal, kadar santai sendiri  ",骑自行车，自选轻松速度,"Đạp xe đạp, tốc độ tự chọn dễ dàng"
Bicycling,Berbasikal,骑自行车,Đạp xe,1016,7,"Bicycling, self-selected moderate pace","Berbasikal, kadar sederhana sendiri  ",骑自行车，自选中等速度,"Đạp xe đạp, tốc độ tự chọn vừa phải"
Bicycling,Berbasikal,骑自行车,Đạp xe,1017,9,"Bicycling, self-selected vigorous pace","Berbasikal, kadar tenaga tinggi sendiri  ",骑自行车，自选剧烈速度,"Đạp xe đạp, tốc độ tự chọn mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1018,3.5,"Bicycling, leisure 5.5 mph","Berbasikal, rekreasi 5.5 mph  ",骑自行车，休闲，5.5英里/小时,"Đạp xe đạp, thư giãn 5,5 mph"
Bicycling,Berbasikal,骑自行车,Đạp xe,1019,5.8,"Bicycling, leisure, 9.4 mph","Berbasikal, rekreasi, 9.4 mph  ",骑自行车，休闲，9.4英里/小时,"Đạp xe đạp, thư giãn, 9,4 mph"
Bicycling,Berbasikal,骑自行车,Đạp xe,1020,6.8,"Bicycling, 10-11.9 mph, leisure, slow, light effort","Berbasikal, 10–11.9 mph, rekreasi, perlahan, usaha ringan  ",骑自行车，10-11.9英里/小时，休闲，慢，轻度用力,"Đạp xe đạp, 10-11,9 mph, thư giãn, chậm, nhẹ"
Bicycling,Berbasikal,骑自行车,Đạp xe,1030,8,"Bicycling, 12-13.9 mph, leisure, moderate effort","Berbasikal, 12–13.9 mph, rekreasi, usaha sederhana  ",骑自行车，12-13.9英里/小时，休闲，中度用力,"Đạp xe đạp, 12-13,9 mph, thư giãn, vừa"
Bicycling,Berbasikal,骑自行车,Đạp xe,1040,10,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort","Berbasikal, 14–15.9 mph, perlumbaan atau rekreasi, pantas, usaha tenaga tinggi  ",骑自行车，14-15.9英里/小时，比赛或休闲，快，剧烈用力,"Đạp xe đạp, 14-15,9 mph, đua hoặc thư giãn, nhanh, mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1050,12,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general","Berbasikal, 16–19 mph, perlumbaan/tak mencelah atau >19 mph mencelah, sangat laju, perlumbaan am  ",骑自行车，16-19英里/小时，比赛/不跟车或>19英里/小时跟车，非常快，一般比赛,"Đạp xe đạp, 16-19 mph, đua/không theo sau hoặc >19 mph theo sau, rất nhanh, đua chung"
Bicycling,Berbasikal,骑自行车,Đạp xe,1060,16.8,"Bicycling, >20 mph, racing, not drafting","Berbasikal, >20 mph, perlumbaan, tidak mencelah  ",骑自行车，>20英里/小时，比赛，不跟车,"Đạp xe đạp, >20 mph, đua, không theo sau"
Bicycling,Berbasikal,骑自行车,Đạp xe,1065,8.5,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm","Berbasikal, 12 mph, duduk, tangan di tuas brek atau bar bawah, 80 rpm  ",骑自行车，12英里/小时，坐姿，手放在刹车把或下把，80转/分钟,"Đạp xe đạp, 12 mph, ngồi, tay trên tay phanh hoặc thanh, 80 vòng/phút"
Bicycling,Berbasikal,骑自行车,Đạp xe,1066,9,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm","Berbasikal, 12 mph, berdiri, tangan di tuas brek, 60 rpm  ",骑自行车，12英里/小时，站姿，手放在刹车把，60转/分钟,"Đạp xe đạp, 12 mph, đứng, tay trên tay phanh, 60 vòng/phút"
Bicycling,Berbasikal,骑自行车,Đạp xe,1070,5,Unicycling,Unisepeda,独轮车,Xe đạp một bánh
Bicycling,Berbasikal,骑自行车,Đạp xe,1080,6.8,E-bike (electrically assisted) without electronic support,E-basikal (dengan bantuan elektrik) tanpa sokongan elektronik,电动辅助自行车，无电子辅助,Xe đạp điện (hỗ trợ điện) không hỗ trợ điện tử
Bicycling,Berbasikal,骑自行车,Đạp xe,1084,6,E-bike (electrically assisted) with light electronic support,E-basikal (dengan bantuan elektrik) dengan sokongan elektronik ringan,电动辅助自行车，轻度电子辅助,Xe đạp điện (hỗ trợ điện) với hỗ trợ điện nhẹ
Bicycling,Berbasikal,骑自行车,Đạp xe,1088,4,E-bike (electrically assisted) with high electronic support,E-basikal (dengan bantuan elektrik) dengan sokongan elektronik tinggi,电动辅助自行车，高度电子辅助,Xe đạp điện (hỗ trợ điện) với hỗ trợ điện cao
Bicycling,Berbasikal,骑自行车,Đạp xe,1200,6.8,"Bicycling, stationary, general","Berbasikal, statik, umum  ",动感单车，一般,"Đạp xe tại chỗ, chung"
Bicycling,Berbasikal,骑自行车,Đạp xe,1210,3.5,"Bicycling, stationary, 25-30 watts, very light to light effort","Berbasikal, statik, 25–30 watt, sangat ringan hingga ringan  ",动感单车，25-30瓦，非常轻至轻度,"Đạp xe tại chỗ, 25-30 watt, rất nhẹ đến nhẹ"
Bicycling,Berbasikal,骑自行车,Đạp xe,1214,4,"Bicycling, stationary, 50 watts, light effort","Berbasikal, statik, 50 watt, usaha ringan  ",动感单车，50瓦，轻度,"Đạp xe tại chỗ, 50 watt, nhẹ"
Bicycling,Berbasikal,骑自行车,Đạp xe,1216,5,"Bicycling, stationary, 60 watts, light to moderate effort","Berbasikal, statik, 60 watt, usaha ringan ke sederhana  ",动感单车，60瓦，轻至中度,"Đạp xe tại chỗ, 60 watt, nhẹ đến vừa"
Bicycling,Berbasikal,骑自行车,Đạp xe,1218,5.8,"Bicycling, stationary, 70-80 watts","Berbasikal, statik, 70–80 watt  ",动感单车，70-80瓦,"Đạp xe tại chỗ, 70-80 watt"
Bicycling,Berbasikal,骑自行车,Đạp xe,1220,6,"Bicycling, stationary, 90-100 watts,  moderate to vigorous","Berbasikal, statik, 90–100 watt, sederhana ke tenaga tinggi  ",动感单车，90-100瓦，中等至剧烈,"Đạp xe tại chỗ, 90-100 watt, vừa đến mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1224,6.8,"Bicycling, stationary, 101-125 watts","Berbasikal, statik, 101–125 watt  ",动感单车，101-125瓦,"Đạp xe tại chỗ, 101-125 watt"
Bicycling,Berbasikal,骑自行车,Đạp xe,1228,8,"Bicycling, stationary, 126-150 watts","Berbasikal, statik, 126–150 watt  ",动感单车，126-150瓦,"Đạp xe tại chỗ, 126-150 watt"
Bicycling,Berbasikal,骑自行车,Đạp xe,1232,10.3,"Bicycling, stationary, 151-199 watts","Berbasikal, statik, 151–199 watt  ",动感单车，151-199瓦,"Đạp xe tại chỗ, 151-199 watt"
Bicycling,Berbasikal,骑自行车,Đạp xe,1236,10.8,"Bicycling, stationary, 200-229 watts, vigorous","Berbasikal, statik, 200–229 watt, tenaga tinggi  ",动感单车，200-229瓦，剧烈,"Đạp xe tại chỗ, 200-229 watt, mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1240,12.5,"Bicycling, stationary, 230-250 watts, very vigorous","Berbasikal, statik, 230–250 watt, sangat tenaga tinggi  ",动感单车，230-250瓦，非常剧烈,"Đạp xe tại chỗ, 230-250 watt, rất mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1244,13.8,"Bicycling, stationary, 270-305 watts, very vigorous","Berbasikal, statik, 270–305 watt, sangat tenaga tinggi  ",动感单车，270-305瓦，非常剧烈,"Đạp xe tại chỗ, 270-305 watt, rất mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1248,16.3,"Bicycling, stationary, >325 watts, very vigorous","Berbasikal, statik, >325 watt, sangat tenaga tinggi  ",动感单车，>325瓦，非常剧烈,"Đạp xe tại chỗ, >325 watt, rất mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1252,5.5,"Bicycling, concentric only, 100 W","Berbasikal, hanya konsentrik, 100 W  ",动感单车，仅向心，100瓦,"Đạp xe chỉ co cơ đồng tâm, 100 W"
Bicycling,Berbasikal,骑自行车,Đạp xe,1254,11,"Bicycling, concentric only, 200 W","Berbasikal, hanya konsentrik, 200 W  ",动感单车，仅向心，200瓦,"Đạp xe chỉ co cơ đồng tâm, 200 W"
Bicycling,Berbasikal,骑自行车,Đạp xe,1262,2.3,"Bicycling, eccentric only, 100 to 149 W","Berbasikal, hanya eksentrik, 100–149 W  ",动感单车，仅离心，100至149瓦,"Đạp xe chỉ co cơ ly tâm, 100-149 W"
Bicycling,Berbasikal,骑自行车,Đạp xe,1264,4,"Bicycling, eccentric only, 200 W","Berbasikal, hanya eksentrik, 200 W  ",动感单车，仅离心，200瓦,"Đạp xe chỉ co cơ ly tâm, 200 W"
Bicycling,Berbasikal,骑自行车,Đạp xe,1270,9,"Bicycling, stationary, RPM/Spin bike class","Berbasikal, statik, kelas RPM/Spin bike  ",动感单车，RPM/飞轮课程,"Đạp xe tại chỗ, lớp xe đạp RPM/Spin"
Bicycling,Berbasikal,骑自行车,Đạp xe,1290,8.8,"Bicycling, interactive virtual cycling, indoor cycle ergometer","Berbasikal, bersepeda maya interaktif, ergometer dalam rumah  ",动感单车，互动虚拟骑行，室内功率车,"Đạp xe tương tác ảo, xe đạp trong nhà"
Bicycling,Berbasikal,骑自行车,Đạp xe,1305,8.8,"Bicycling, high intensity interval training","Berbasikal, latihan selang intensiti tinggi  ",骑自行车，高强度间歇训练,Đạp xe cường độ cao theo chu kỳ
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2000,7.3,"Aerobic, general","Aerobik, umum  ",有氧运动，一般,"Thể dục nhịp điệu, chung"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2001,5.5,"Aerobic, step, with 4-inch step","Aerobik, step, dengan step setinggi 4 inci  ",有氧操，踏板，4英寸踏板,"Thể dục nhịp điệu bước, với bục 4 inch"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2002,7.3,"Aerobic, step, with 6 – 8 inch step","Aerobik, step, dengan step 6–8 inci  ",有氧操，踏板，6-8英寸踏板,"Thể dục nhịp điệu bước, với bục 6 – 8 inch"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2003,9,"Aerobic, step, with 10 – 12 inch step","Aerobik, step, dengan step 10–12 inci  ",有氧操，踏板，10-12英寸踏板,"Thể dục nhịp điệu bước, với bục 10 – 12 inch"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2004,7.8,"Bench step class, general","Kelas bench step, umum  ",踏板操课程，一般,"Lớp bước bục, chung"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2005,4.8,"Aerobic dance, low impact, moderate effort","Tarian aerobik, impak rendah, usaha sederhana  ",有氧舞蹈，低冲击，中度用力,"Nhảy aerobic, tác động thấp, nỗ lực vừa phải"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2006,8,"Aerobic dance, high impact, vigorous effort","Tarian aerobik, impak tinggi, usaha tenaga tinggi  ",有氧舞蹈，高冲击，剧烈用力,"Nhảy aerobic, tác động cao, nỗ lực mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2007,10,Aerobic dance wearing 10-15 lb weights,Tarian aerobik sambil memakai beban 10–15 lb,有氧舞蹈，穿着10-15磅负重,Nhảy aerobic mang tạ 10-15 lb
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2008,5,"Army type obstacle course exercise, boot camp training program","Latihan halangan ala tentera, program boot camp  ",军队障碍课程训练，训练营计划,"Bài tập vượt chướng ngại kiểu quân đội, chương trình huấn luyện boot camp"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2020,7.5,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort","Calisthenics (contoh: push-up, sit-up, pull-up, jumping jack, burpee, battling ropes), usaha tenaga tinggi  ",徒手健身（如俯卧撑、仰卧起坐、引体向上、开合跳、波比跳、战绳），剧烈用力,"Thể dục dụng cụ (ví dụ: hít đất, gập bụng, kéo xà, nhảy bật, burpee, dây chiến đấu), nỗ lực mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2022,3.8,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort","Calisthenics (contoh: push-up, sit-up, pull-up, lunges), usaha sederhana  ",徒手健身（如俯卧撑、仰卧起坐、引体向上、弓步），中度用力,"Thể dục dụng cụ (ví dụ: hít đất, gập bụng, kéo xà, bước tấn), nỗ lực vừa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2024,2.8,"Calisthenics (e.g., curl ups, abdominal crunches, plank),  light effort","Calisthenics (contoh: curl-up, crunch perut, plank), usaha ringan  ",徒手健身（如卷腹、腹部收缩、平板支撑），轻度用力,"Thể dục dụng cụ (ví dụ: gập bụng, plank), nỗ lực nhẹ"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2030,3.5,"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)","Calisthenics, usaha ringan atau sederhana, umum (contoh: senaman belakang), turun naik lantai (Kod Taylor 150)  ",徒手健身，轻度或中度，一般（如背部锻炼），上下地面（Taylor代码150）,"Thể dục dụng cụ, nỗ lực nhẹ hoặc vừa, chung (ví dụ: bài tập lưng), lên xuống sàn (Mã Taylor 150)"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2032,6,"Circuit training, body weight exercises","Latihan litar, senaman berat badan  ",循环训练，徒手锻炼,"Tập luyện theo vòng, bài tập trọng lượng cơ thể"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2034,3.5,"Circuit training, light effort","Latihan litar, usaha ringan  ",循环训练，轻度,"Tập luyện theo vòng, nỗ lực nhẹ"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2035,5,"Circuit training, moderate effort","Latihan litar, usaha sederhana  ",循环训练，中度,"Tập luyện theo vòng, nỗ lực vừa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2040,7.5,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity","Latihan litar, termasuk kettlebells, pergerakan aerobik sedikit, rehat minima, umum, intensiti tenaga tinggi  ",循环训练，包括壶铃，带一些有氧运动，休息最少，一般，剧烈强度,"Tập luyện theo vòng, bao gồm tạ kettlebell, một số chuyển động aerobic với ít thời gian nghỉ, chung, cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2045,3.5,Curves™ exercise routines in women,Rutin senaman Curves™ untuk wanita,Curves™女性健身训练,Bài tập Curves™ dành cho phụ nữ
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2048,5,"Elliptical trainer, moderate effort","Mesin elips, usaha sederhana  ",椭圆机，中度用力,"Máy tập elliptical, nỗ lực vừa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2049,9,"Elliptical trainer, vigorous effort","Mesin elips, usaha tenaga tinggi  ",椭圆机，剧烈用力,"Máy tập elliptical, nỗ lực mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2050,6,"Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210)","Latihan rintangan (angkat berat bebas, nautilus atau universal-type), angkat kuasa atau bina badan, usaha tenaga tinggi (Kod Taylor 210)  ",阻力训练（举重—自由重量、器械），力量举或健美，剧烈用力（Taylor代码210）,"Tập tạ (nâng tạ tự do, máy nautilus hoặc universal), nâng sức mạnh hoặc thể hình, nỗ lực mạnh (Mã Taylor 210)"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2052,5,"Resistance (weight) training, squats, deadlift, slow or explosive effort","Latihan rintangan (berat), squats, deadlift, usaha perlahan atau letupan  ",阻力训练（举重），深蹲、硬拉，缓慢或爆发性用力,"Tập tạ, squat, deadlift, nỗ lực chậm hoặc bùng nổ"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2054,3.5,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance","Latihan rintangan (berat), pelbagai senaman, 8–15 ulangan pada rintangan berbeza  ",阻力训练，多种动作，每组8-15次，阻力变化,"Tập tạ, nhiều bài tập, 8-15 lần với kháng lực khác nhau"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2055,5.8,"Resistance Training, circuit, reciprocol supersets, peripheral hear action training","Latihan rintangan, litar, superset resiprok, latihan tindakan jantung periferi  ",阻力训练，循环，交替超组，外周心脏作用训练,"Tập luyện đối kháng, siêu vòng lặp, huấn luyện nhịp tim ngoại biên"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2056,3,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general","Senaman berat badan (contoh: squat, lunge, push-up, crunch), umum  ",自身体重训练（如深蹲、弓步、俯卧撑、卷腹），一般,"Bài tập kháng lực bằng trọng lượng cơ thể (ví dụ: squat, lunge, hít đất, gập bụng), chung"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2057,6.5,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity","Senaman berat badan (contoh: squat, lunge, push-up, crunch), intensiti tinggi  ",自身体重训练（如深蹲、弓步、俯卧撑、卷腹），高强度,"Bài tập kháng lực bằng trọng lượng cơ thể (ví dụ: squat, lunge, hít đất, gập bụng), cường độ cao"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2058,9.8,Kettle bell swings,Ayunan kettlebell,壶铃摆动,Vung tạ kettlebell
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2060,5.5,"Health club exercise, general (Taylor Code 160)","Senaman gim kesihatan, umum (Kod Taylor 160)  ",健身房锻炼，一般（Taylor代码160）,"Bài tập câu lạc bộ sức khỏe, chung (Mã Taylor 160)"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2061,5,"Health club exercise classes general, gym/weight training combined in one visit","Kelas senaman gim/gim, gabungan latihan kekuatan dalam satu sesi  ",健身房课程，一般，健身/举重结合,"Các lớp tập câu lạc bộ sức khỏe chung, kết hợp tập gym/tạ trong một buổi"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2062,7.8,"Health club exercise, conditioning classes","Kelas kecergasan gim, kelas kondisioning  ",健身房锻炼，体能训练课程,"Bài tập câu lạc bộ sức khỏe, lớp điều kiện thể chất"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2064,3.8,"Home exercise, general","Senaman di rumah, umum  ",家庭锻炼，一般,"Tập thể dục tại nhà, chung"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2065,9.3,"Stair treadmill ergometer, general","Treadmill tangga ergometer, umum  ",楼梯跑步机，一般,"Máy chạy bộ bậc thang, chung"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2068,11,"Rope skipping exercise, general","Rope skipping exercise, general | Latihan lompat tali, umum",跳绳运动，一般,"Nhảy dây thể dục, chung"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2069,9,"Jumping rope, Digi-Jump Maching, 120 jumps/minute","Jumping rope, Digi-Jump Machine, 120 jumps/minute | Lompat tali, Mesin Digi-Jump, 120 lompatan/minit",跳绳，Digi-Jump 机器，每分钟 120 次,"Nhảy dây, máy Digi-Jump, 120 lần/phút"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2070,7.3,"Rowing, stationary ergometer, general, vigorous effort","Rowing, stationary ergometer, general, vigorous effort | Mendayung, ergometer pegun, umum, usaha kuat",划船，固定划船器，一般，剧烈强度,"Chèo thuyền, máy chèo cố định, chung, cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2071,5,"Rowing, stationary ergometer, general, <100 watts,  moderate effort","Rowing, stationary ergometer, general, <100 watts, moderate effort | Mendayung, ergometer pegun, umum, <100 watt, usaha sederhana",划船，固定划船器，一般，<100 瓦，中等强度,"Chèo thuyền, máy chèo cố định, chung, <100 watt, cường độ vừa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2072,7.5,"Rowing, stationary, 100 to 149 watts, vigorous effort","Rowing, stationary, 100 to 149 watts, vigorous effort | Mendayung, pegun, 100 hingga 149 watt, usaha kuat",划船，固定划船器，100 至 149 瓦，剧烈强度,"Chèo thuyền, máy chèo cố định, 100 đến 149 watt, cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2073,11,"Rowing, stationary, 150 to 199 watts, vigorous effort","Rowing, stationary, 150 to 199 watts, vigorous effort | Mendayung, pegun, 150 hingga 199 watt, usaha kuat",划船，固定划船器，150 至 199 瓦，剧烈强度,"Chèo thuyền, máy chèo cố định, 150 đến 199 watt, cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2074,14,"Rowing, stationary, ≥ 200 watts, very vigorous effort","Rowing, stationary, ≥ 200 watts, very vigorous effort | Mendayung, pegun, ≥ 200 watt, usaha sangat kuat",划船，固定划船器，≥200 瓦，非常剧烈强度,"Chèo thuyền, máy chèo cố định, ≥200 watt, cường độ rất mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2078,11,"Shuttle running, forward/backward/lateral","Shuttle running, forward/backward/lateral | Larian ulang-alik, ke depan/belakang/sisi",往返跑，前后/侧向,"Chạy shuttle, tiến/lùi/ngang"
